"ABB_3mlpa_1","ABB_3mlpa_2","ABB_3mlpa_3","ABB_3mlpa_4","ABB_3mlpa_5","BBA_3MWT_1","BBA_3MWT_2","BBA_3MWT_3","BBA_3MWT_4","BBA_3MWT_5","E_1MWT_1","E_1MWT_2","E_1MWT_3","E_1MWT_4","E_1MWT_5","V_1mlpa_1","V_1mlpa_2","V_1mlpa_3","V_1mlpa_4","V_1mlpa_5"
"Glyma.10G204400",3.38748062495914,1.42923766706351,0.84356781219006,-0.644857728982697,-0.581622970654242,0.713777535295488,-0.242531256245001,-0.384552220493782,-0.666536213069412,-0.669436031868498,0.460136932917378,0.0470998391314414,-0.21669012904347,-0.66307513901889,-0.651873419625646,-0.0173275866063121,-0.223401806425224,-0.587188751897649,-0.670114215297316,-0.662092942328877
"Glyma.02G099500",2.84517610500051,0.441965963130995,-0.459215059963326,-0.552750178285501,-0.688291813457675,0.200587951990767,-0.0958267970613893,-0.516712049404429,-0.751574950013692,-0.736813440838638,2.32888776558167,0.475361599628878,0.112155577580955,-0.682870148050788,-0.721095167180017,0.68092928295555,-0.0271219950984853,-0.487917994470374,-0.602274130363535,-0.762600521681479
"Glyma.01G005500",0.0919798113635498,0.928114574822982,2.82573069123768,0.936426879857888,1.96956327264418,-0.814809544892427,-0.0673670761552549,-0.878398678409324,-0.778235402738916,-0.399859277550794,-0.534352373015288,-0.740081922628778,-0.209341246151149,-0.267942996647113,-0.328207208150056,-0.312746320785163,-1.0404055035393,-0.25921507636048,-0.720880497998186,0.600027895095951
"Glyma.01G018400",-0.0874221931741469,0.44184271809658,0.391546789888547,1.92580630727007,0.700279219749107,-2.57643473893197,0.776924257526256,0.91334394609575,-0.419764468737726,-0.781727752377169,0.73185684487215,0.413569601764373,0.881005414343215,-0.311313533848694,-0.740410522396885,-1.76379732875148,-0.461864345536895,0.276062903724216,-0.103651244571307,-0.205851875003991
"Glyma.01G019700",1.23625800673409,0.65115843246618,-0.0854581795345556,-0.143856830378375,-1.39239388699473,1.80215529211218,-0.0823077921177716,-0.598225224151987,-0.936515012642368,-1.17415228329245,0.755052697435688,0.738694740926023,0.260703770843097,-0.235049049997083,-1.36128285959034,1.9297010639666,0.51060151490059,0.1698937393547,-0.93187241658931,-1.11310572345018
"Glyma.01G021100",2.14550489202813,0.83484643640387,-0.634764707661891,-0.790191976269092,-0.920864107061701,1.55423794653349,0.63320271507837,-0.534457506828966,-0.83820973839178,-0.938182410335318,1.28224022647089,-0.0126439053692321,-0.218353439350346,-0.72390379018761,-0.940575578544005,1.48980253583938,0.550445414442483,-0.230550877317203,-0.802698210133843,-0.90488391934563
"Glyma.01G029300",-0.880354524828341,0.260994985093172,-0.10744509306201,-0.240699096758434,-0.759774135613917,-0.782405590046054,2.4352440752974,0.263167604718657,-0.424104403476465,-0.770456182105886,-0.897011275290393,-0.151259588842628,0.906444065497706,1.10161772852046,-0.886691332069339,-1.04149048038515,1.88991654930063,1.01634240822016,-0.0464306919129717,-0.885605022256597
"Glyma.01G044800",-1.62771648572096,-1.1096723759192,0.663236553893771,0.536750839772352,0.923388393855281,-1.45513554112576,0.248329266960358,0.603031563329425,0.142531172615855,0.514757690592051,-1.39593480394865,-0.988057290725846,0.138363521058852,1.64976486883756,0.00389399250898279,-1.64654623673149,0.375317107775386,0.888490588649089,1.10294889949171,0.432258274831235
"Glyma.01G045500",1.54429254461731,0.785876933313319,0.0620424287940695,-0.836239756758435,-0.910645270500416,1.09111102641401,-0.115871998941474,-0.431049856604602,-0.965224941001908,-1.10499281783541,1.96383058147848,0.747446627343123,0.175297712520045,-0.638721554966186,-1.14519967727582,1.39627109645345,0.584867310465027,0.00749976982320369,-0.999991105439797,-1.21059905189798
"Glyma.01G047900",-0.959207443299781,-0.603791443211078,-0.263095486123203,1.12658144877943,1.25336858760336,-1.47939054048936,-0.503410488396272,0.614189112262041,1.06897476650138,1.08541776618933,-1.18877269406843,-0.85039898295015,-0.323960803874723,-0.0478382669736805,1.32460910105775,-1.41609061002778,-0.480562584501849,-0.548581918062936,0.492570843499476,1.69938963608647
